targetName,targetDomain,targetDefinition,conceptId,conceptName,vocabularyId,domainId,conceptClassId,status,goldStandard,notes
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",4141457,Excision of gastrocolic ligament,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",4167412,Therapeutic aspiration - cyst,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",4171517,Olshausen operation on uterus,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",4172515,Therapeutic procedure,SNOMED,Procedure,Procedure,SEED,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",4174546,Cannulation of nasal sinus by puncture,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",42742445,Patient receiving ACE inhibitor/ARB therapy and beta-blocker therapy for less than 3 months or patient not receiving ACE inhibitor/ARB therapy and beta-blocker therapy (HF),CPT4,Observation,CPT4,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",4279146,Ultrasonic guidance for amniocentesis,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",44806036,Nicotine replacement therapy using nicotine lozenge,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",46271076,Creation of pleuroperitoneal shunt,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",745716,"Chimeric antigen receptor T-cell (CAR-T) therapy; harvesting of blood-derived T lymphocytes for development of genetically modified autologous CAR-T cells, per day",CPT4,Procedure,CPT4,DESCENDANT,FALSE,NA
Abdominal paracentesis,PROCEDURE,"Abdominal paracentesis is an invasive, percutaneous procedure in which a sterile needle, cannula, or catheter is introduced through the anterior abdominal wall into the peritoneal cavity to aspirate accumulated intraperitoneal fluid (ascites) for either diagnostic evaluation or therapeutic removal. The concept includes both low-volume diagnostic tapsâ€”typically removing only a few milliliters for cell count, culture, or chemical analysisâ€”and large-volume paracentesis in which liters of fluid are drained in a single session; both bedside and image-guided techniques are encompassed. It is procedure-based and episodic rather than a chronic therapy, and it is agnostic to the underlying etiology, patient age, or disease severity prompting fluid removal. The definition excludes surgical laparotomy, diagnostic peritoneal lavage performed for trauma assessment, placement or use of indwelling peritoneal drains or shunts (e.g., peritoneovenous shunt), and procedures pertaining to other serous cavities such as thoracentesis or pericardiocentesis.",762796,Percutaneous electrical nerve stimulation of tibial nerve for urinary incontinence,SNOMED,Procedure,Procedure,DESCENDANT,FALSE,NA
Acute hepatitis C,CONDITION,"Acute hepatitis C is a newly acquired infection of the liver by hepatitis C virus (HCV) in which viral RNA becomes detectable and hepatic inflammation develops within six months of the presumed exposure. Clinically, it is marked by a rapid rise in serum aminotransferasesâ€”often exceeding ten-fold the upper limit of normalâ€”accompanied variably by fatigue, jaundice, right-upper-quadrant discomfort, or may be entirely asymptomatic; seroconversion with emergence of anti-HCV antibodies usually follows several weeks after RNA detection. The concept encompasses primary, mono-infective, nonâ€“iatrogenic HCV infections of any viral genotype, regardless of symptomatic presentation or peak alanine/aspartate aminotransferase levels, provided chronicity has not been established. It explicitly excludes chronic hepatitis C (persistence of viremia â‰¥6 months), resolved past infections with undetectable RNA, acute exacerbations of known chronic hepatitis C, superinfection on pre-existing liver disease of other etiologies (e.g., hepatitis B, autoimmune hepatitis), and hepatic injury from non-viral causes such as alcohol, drugs, or ischemia.",192242,Acute hepatitis C,SNOMED,Condition,Disorder,SEED,TRUE,NA
Acute hepatitis C,CONDITION,"Acute hepatitis C is a newly acquired infection of the liver by hepatitis C virus (HCV) in which viral RNA becomes detectable and hepatic inflammation develops within six months of the presumed exposure. Clinically, it is marked by a rapid rise in serum aminotransferasesâ€”often exceeding ten-fold the upper limit of normalâ€”accompanied variably by fatigue, jaundice, right-upper-quadrant discomfort, or may be entirely asymptomatic; seroconversion with emergence of anti-HCV antibodies usually follows several weeks after RNA detection. The concept encompasses primary, mono-infective, nonâ€“iatrogenic HCV infections of any viral genotype, regardless of symptomatic presentation or peak alanine/aspartate aminotransferase levels, provided chronicity has not been established. It explicitly excludes chronic hepatitis C (persistence of viremia â‰¥6 months), resolved past infections with undetectable RNA, acute exacerbations of known chronic hepatitis C, superinfection on pre-existing liver disease of other etiologies (e.g., hepatitis B, autoimmune hepatitis), and hepatic injury from non-viral causes such as alcohol, drugs, or ischemia.",194574,Chronic type B viral hepatitis,SNOMED,Condition,Disorder,SEED,FALSE,NA
Acute hepatitis C,CONDITION,"Acute hepatitis C is a newly acquired infection of the liver by hepatitis C virus (HCV) in which viral RNA becomes detectable and hepatic inflammation develops within six months of the presumed exposure. Clinically, it is marked by a rapid rise in serum aminotransferasesâ€”often exceeding ten-fold the upper limit of normalâ€”accompanied variably by fatigue, jaundice, right-upper-quadrant discomfort, or may be entirely asymptomatic; seroconversion with emergence of anti-HCV antibodies usually follows several weeks after RNA detection. The concept encompasses primary, mono-infective, nonâ€“iatrogenic HCV infections of any viral genotype, regardless of symptomatic presentation or peak alanine/aspartate aminotransferase levels, provided chronicity has not been established. It explicitly excludes chronic hepatitis C (persistence of viremia â‰¥6 months), resolved past infections with undetectable RNA, acute exacerbations of known chronic hepatitis C, superinfection on pre-existing liver disease of other etiologies (e.g., hepatitis B, autoimmune hepatitis), and hepatic injury from non-viral causes such as alcohol, drugs, or ischemia.",197490,Acute hepatitis E,SNOMED,Condition,Disorder,SEED,FALSE,NA
Acute hepatitis C,CONDITION,"Acute hepatitis C is a newly acquired infection of the liver by hepatitis C virus (HCV) in which viral RNA becomes detectable and hepatic inflammation develops within six months of the presumed exposure. Clinically, it is marked by a rapid rise in serum aminotransferasesâ€”often exceeding ten-fold the upper limit of normalâ€”accompanied variably by fatigue, jaundice, right-upper-quadrant discomfort, or may be entirely asymptomatic; seroconversion with emergence of anti-HCV antibodies usually follows several weeks after RNA detection. The concept encompasses primary, mono-infective, nonâ€“iatrogenic HCV infections of any viral genotype, regardless of symptomatic presentation or peak alanine/aspartate aminotransferase levels, provided chronicity has not been established. It explicitly excludes chronic hepatitis C (persistence of viremia â‰¥6 months), resolved past infections with undetectable RNA, acute exacerbations of known chronic hepatitis C, superinfection on pre-existing liver disease of other etiologies (e.g., hepatitis B, autoimmune hepatitis), and hepatic injury from non-viral causes such as alcohol, drugs, or ischemia.",197795,Acute type B viral hepatitis,SNOMED,Condition,Disorder,SEED,FALSE,NA
Acute hepatitis C,CONDITION,"Acute hepatitis C is a newly acquired infection of the liver by hepatitis C virus (HCV) in which viral RNA becomes detectable and hepatic inflammation develops within six months of the presumed exposure. Clinically, it is marked by a rapid rise in serum aminotransferasesâ€”often exceeding ten-fold the upper limit of normalâ€”accompanied variably by fatigue, jaundice, right-upper-quadrant discomfort, or may be entirely asymptomatic; seroconversion with emergence of anti-HCV antibodies usually follows several weeks after RNA detection. The concept encompasses primary, mono-infective, nonâ€“iatrogenic HCV infections of any viral genotype, regardless of symptomatic presentation or peak alanine/aspartate aminotransferase levels, provided chronicity has not been established. It explicitly excludes chronic hepatitis C (persistence of viremia â‰¥6 months), resolved past infections with undetectable RNA, acute exacerbations of known chronic hepatitis C, superinfection on pre-existing liver disease of other etiologies (e.g., hepatitis B, autoimmune hepatitis), and hepatic injury from non-viral causes such as alcohol, drugs, or ischemia.",198964,Chronic hepatitis C,SNOMED,Condition,Disorder,SEED,FALSE,NA
